Date,Open,High,Low,Close,Adj Close,Volume,Crypto
"Jan 30, 2022","2,598.56","2,631.41","2,550.46","2,603.47","2,603.47","9,501,221,177",Ethereum (ETH)
"Jan 29, 2022","2,546.59","2,627.61","2,526.99","2,597.08","2,597.08","11,172,062,661",Ethereum (ETH)
"Jan 28, 2022","2,421.65","2,548.78","2,367.83","2,547.09","2,547.09","14,666,227,351",Ethereum (ETH)
"Jan 27, 2022","2,467.19","2,510.45","2,328.45","2,423.00","2,423.00","16,126,522,783",Ethereum (ETH)
"Jan 26, 2022","2,455.58","2,705.78","2,417.68","2,468.03","2,468.03","21,229,909,340",Ethereum (ETH)
"Jan 25, 2022","2,440.39","2,498.51","2,359.38","2,455.94","2,455.94","16,179,776,932",Ethereum (ETH)
"Jan 24, 2022","2,535.89","2,537.21","2,172.30","2,440.35","2,440.35","28,220,804,648",Ethereum (ETH)
"Jan 23, 2022","2,406.92","2,542.14","2,381.52","2,535.04","2,535.04","16,481,489,511",Ethereum (ETH)
"Jan 22, 2022","2,561.15","2,615.25","2,330.25","2,405.18","2,405.18","27,369,692,036",Ethereum (ETH)
"Jan 21, 2022","3,002.96","3,029.08","2,496.81","2,557.93","2,557.93","26,796,291,874",Ethereum (ETH)
"Jan 20, 2022","3,095.27","3,265.34","3,000.91","3,001.12","3,001.12","10,645,922,764",Ethereum (ETH)
"Jan 19, 2022","3,163.85","3,171.16","3,055.21","3,095.83","3,095.83","13,187,424,144",Ethereum (ETH)
"Jan 18, 2022","3,212.29","3,236.02","3,096.12","3,164.03","3,164.03","13,024,154,091",Ethereum (ETH)
"Jan 17, 2022","3,350.95","3,355.82","3,157.22","3,212.30","3,212.30","12,344,309,617",Ethereum (ETH)
"Jan 16, 2022","3,330.39","3,376.40","3,291.56","3,350.92","3,350.92","9,505,934,874",Ethereum (ETH)
"Jan 15, 2022","3,309.84","3,364.54","3,278.67","3,330.53","3,330.53","9,619,999,078",Ethereum (ETH)
"Jan 14, 2022","3,248.65","3,330.77","3,203.82","3,310.00","3,310.00","13,562,957,230",Ethereum (ETH)
"Jan 13, 2022","3,372.10","3,396.97","3,247.92","3,248.29","3,248.29","15,294,466,275",Ethereum (ETH)
"Jan 12, 2022","3,238.45","3,401.22","3,216.72","3,372.26","3,372.26","16,662,871,689",Ethereum (ETH)
"Jan 11, 2022","3,082.99","3,247.51","3,061.14","3,238.11","3,238.11","15,211,447,193",Ethereum (ETH)
"Jan 10, 2022","3,157.57","3,177.21","2,947.68","3,083.10","3,083.10","19,535,744,145",Ethereum (ETH)
"Jan 9, 2022","3,091.70","3,206.79","3,075.91","3,157.75","3,157.75","12,334,683,863",Ethereum (ETH)
"Jan 8, 2022","3,193.50","3,240.30","3,020.88","3,091.97","3,091.97","16,037,732,700",Ethereum (ETH)
"Jan 7, 2022","3,417.84","3,420.46","3,117.38","3,193.21","3,193.21","24,494,179,209",Ethereum (ETH)
"Jan 6, 2022","3,549.71","3,549.71","3,335.38","3,418.41","3,418.41","24,293,791,313",Ethereum (ETH)
"Jan 5, 2022","3,794.27","3,842.06","3,456.75","3,550.39","3,550.39","18,061,338,502",Ethereum (ETH)
"Jan 4, 2022","3,761.36","3,876.79","3,723.35","3,794.06","3,794.06","14,030,925,983",Ethereum (ETH)
"Jan 3, 2022","3,829.54","3,836.20","3,698.05","3,761.38","3,761.38","12,080,777,893",Ethereum (ETH)
"Jan 2, 2022","3,769.30","3,836.16","3,727.36","3,829.56","3,829.56","9,881,471,548",Ethereum (ETH)
"Jan 1, 2022","3,683.05","3,769.92","3,682.29","3,769.70","3,769.70","9,776,191,466",Ethereum (ETH)
"Dec 31, 2021","3,713.43","3,807.29","3,636.87","3,682.63","3,682.63","14,157,285,268",Ethereum (ETH)
