Date,Open,High,Low,Close,Adj Close,Volume,Crypto,Volatility,Return,Amplitude,Price_change,Volatility_ratio,High_low_spread,SMA_7,SMA_50,EMA_10,EMA_50,RoC,BB_upper,BB_lower,ATR,RSI,VWAP,OBV
2023-10-12,26873.29,26921.44,26558.32,26756.8,26756.8,9392909295.0,Bitcoin (BTC),363.119999999999,-0.004334787441359119,0.013512301619935593,-116.4900000000016,0.013571129582012759,363.119999999999,27557.72857142857,34329.1868,28353.254352524847,32452.214753016025,-0.1079252781398885,37207.16448842281,24650.27451157719,1171.775714285714,6.347136963044164,34666.70986431439,-131775692720.0
2023-10-11,27392.08,27474.12,26561.1,26873.32,26873.32,13648094333.0,Bitcoin (BTC),913.0200000000004,-0.018938320857707847,0.033331532326132236,-518.760000000002,0.033974961039424996,913.0200000000004,27349.868571428575,34112.398199999996,28084.165713569764,32200.745199622655,-0.1017798071488425,36807.84430553315,24270.14869446685,1135.230714285714,3.738961501987646,34554.18866404986,-118127598387.0
2023-10-10,27589.2,27715.85,27301.65,27391.02,27391.02,9973350678.0,Bitcoin (BTC),414.1999999999971,-0.0071832456178504735,0.01501312107636311,-198.1800000000003,0.015121744279694479,414.1999999999971,27203.47857142857,33903.0488,27958.135516240345,31985.209011974744,-0.07721368664502681,36310.858751009364,24056.000248990644,1002.6971428571425,10.119631732730625,34479.306826726584,-108154247709.0
2023-10-09,27934.47,27989.47,27302.56,27583.68,27583.68,12007668568.0,Bitcoin (BTC),686.9099999999999,-0.012557603562909941,0.024590049497985815,-350.7900000000009,0.02490276859360317,686.9099999999999,27069.794285714284,33698.1006,27890.051057954977,31789.062956309994,-0.03955910571831778,35706.48016274264,23964.89883725736,746.5757142857138,13.510506093574094,34393.18156648268,-96146579141.0
2023-10-08,27971.68,28102.17,27740.66,27935.09,27935.09,7916875290.0,Bitcoin (BTC),361.5099999999984,-0.0013081087728731397,0.0129241432763423,-36.590000000000146,0.012941071605640017,361.5099999999984,27180.571428571428,33511.719,27898.240117619378,31618.231249123153,-0.013881858238075417,35097.37947701285,23958.55152298714,738.1749999999995,28.549548967595285,34340.04288451565,-88229703851.0
2023-10-07,27946.78,28028.09,27870.42,27968.84,27968.84,6553044316.0,Bitcoin (BTC),157.6700000000019,0.000789357485907189,0.005641794868675457,22.06000000000131,0.0056373449882083735,157.6700000000019,27338.73285714286,33321.5134,27911.076666498135,31457.29033684623,-0.01572754546334343,34438.25878905224,24023.576210947766,691.8849999999996,29.509485522097876,34296.91580390744,-81676659535.0
2023-10-06,27412.12,28252.54,27215.55,27946.6,27946.6,13492391599.0,Bitcoin (BTC),1036.9900000000016,0.01949794470475102,0.037829616972346596,534.4799999999996,0.03710612382186032,1036.9900000000016,27493.621428571427,33124.5096,27917.53553947178,31303.218889362168,-0.020086979175980568,33605.47098252906,24235.35901747094,658.6399999999996,30.89416223044303,34207.859161749766,-95169051134.0
2023-10-05,27798.65,28091.86,27375.6,27415.91,27415.91,11877253670.0,Bitcoin (BTC),716.260000000002,-0.01376829450351012,0.02576599942802985,-382.7400000000016,0.0261257058401491,716.260000000002,27587.78,32918.4222,27826.329913139456,31133.41213482579,0.009435320410977166,32482.3079060243,24649.831093975703,658.7671428571427,34.14356524742314,34129.348061297715,-107046304804.0
2023-10-04,27429.07,27826.66,27248.11,27799.39,27799.39,11143355314.0,Bitcoin (BTC),578.5499999999993,0.013501004591114453,0.02109258534831838,370.3199999999997,0.0208116077367165,578.5499999999993,27720.075714285715,32728.617599999998,27821.431703929673,30988.42186282528,0.03490768085873919,31273.54099098265,25248.384009017354,649.0378571428571,43.55503351943055,34057.338797925884,-95902949490.0
2023-10-03,27508.25,27667.19,27216.0,27429.98,27429.98,11407814187.0,Bitcoin (BTC),451.1899999999987,-0.0028453282197159193,0.016401988494360736,-78.27000000000044,0.016448790702727405,451.1899999999987,27725.641428571427,32528.5704,27750.258153448714,30834.330346299263,0.021129922218358965,29973.77182875669,25982.528171243313,644.9399999999997,38.761261312617016,33983.15810947071,-107310763677.0
